,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
34,No Supply-No Supply,No Supply,Not Initialized,18.0,0x7288A68147297059fCe6e871e36070B4b7F8Fc3b,No Supply,Not Initialized,8.0,0xa015A1e69f0da98ab5E205293d7d2C4222FE46c4
35,No Supply-No Supply,No Supply,Not Initialized,18.0,0xD5c82023732522f531db84Ffa5E8AbD6083b5383,No Supply,Not Initialized,18.0,0x70d31F7aAf6B93Fc83a2e467ebb99988dc9F6efd
36,USDC-WETH,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x3A3139F80672a6F0Ed9312716478eD0EF1f63C09,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x263e24161e9c809FE0ceB838FafDb9A0bc7447C6
37,QI-WETH,QI,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,18.0,0x4368689366C65d531E564869fCADa22847EF2458,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x0FDd420C0fcDEfd3EcffcE243fC1dc6cA7d87564
38,DAI-miMATIC,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0xf3590288F0C9EA244C4cF7AFD13341d25b8e1152,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,18.0,0xf98F8b918b0EF3bcCf5792e398480e2F17E6cB09
39,miMATIC-USDT,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,18.0,0xDaCd3589beeae06D794d3558f2e1146B180E8797,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0xF2c5Ed4FA09Ab2f0058F35E96B24bb7E2E9F0D4a
40,SUSHI-WETH,SUSHI,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,18.0,0xC8dA0905709B6F45b671A063644BC840E979844A,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x6Bdc93d713EbD1c2e52Eb513f5a6a902D083e9F7
41,WBTC-ibBTC,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,8.0,0xE0E300fd863D14c0A7cC8D0E1546A067321c6CF2,ibBTC,0x4EaC4c4e9050464067D673102F8E24b2FccEB350,18.0,0xF96494BAA672f6FC16c6c9d5a6FE0f01029A4568
42,USDC-USDT,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x57CAE14c18C19ddDf5b1b26732bd3AA88440c54C,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0xD49C450F17CC669a25623eF12dE7f3339BC28921
43,USDC-DAI,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x411a48AbFb6094C35bC4F1f2E77089944365FFD1,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0x40f89Def6B4af18626553F814fC2Ab11014CaFd9
44,WBTC-WETH,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,8.0,0x2318e0fcA595665e96A1c9ABF93b1290457aAc2A,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x9E6a686E68A7fDa0d4a486F66EeFE7e1a450c74a
45,CRV-WETH,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF,18.0,0x15802CdAEfd06e84364BD2B178A9aCd3FA2CB0ed,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xF29F057dAD626BA5AA46F4838272E0a6d40347a4
46,AVAX-WETH,AVAX,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,18.0,0x30b35900b3DA530D166460144040Cc1b29516265,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x7428C61A1d7584777961df49E1113EB32324d39E
47,WMATIC-WETH,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xa04b338E555bd07005e447E9cd149084EB0eAfcE,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x2C44C932adE328BB57779887F0553738842c2c4c
48,TEST2-TEST1,TEST2,0x77f18fA1bb7FaC839575eF71e8E322ef0784331d,18.0,0xA20e1905BefD9F23BcA86140c75C3a0fA0178937,TEST1,0x9dA1F82C6D158Ec39d11F6bd74232B60B47f869c,18.0,0x0116D5d5f8D553f6Edde7289C6877ed82846636C
49,No Supply-No Supply,No Supply,Not Initialized,18.0,0xAE755aa0479781D017cB21790D16185B88170949,No Supply,Not Initialized,18.0,0xF69f7Fd622FD5F9D42a5320eb70DE65D28a5100c
50,No Supply-No Supply,No Supply,Not Initialized,6.0,0x8e78d5464d22242fB0b11CEA326c28538b351c3d,No Supply,Not Initialized,18.0,0x9B776a8199bA43CE397C075f74A6a002882521E8
51,No Supply-No Supply,No Supply,Not Initialized,18.0,0x5bC449cB60C44e93Fe5B7B33227dfB6be1D035f3,No Supply,Not Initialized,18.0,0x44a5575d9124C6005d1BaBFCCB2404d0F9809086
52,No Supply-No Supply,No Supply,Not Initialized,18.0,0x807D2d13dC132658Bc29Dd769Abeae78D7DfE8E8,No Supply,Not Initialized,18.0,0x89CeA4AEeF3D1bc53ce69a1D621232B9665d95b6
53,USDC-WETH,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x33465FA2E5E8AA5AE04503cbfD88B6025EDa2629,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x8fa2fDFf3A57a1a44fD111945D05070cAD0a44cC
54,WMATIC-WETH,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xC5bC224A428FF2053FcEF53e8E69CA2B51C83BDB,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x0343FF54cDCfdD4b3513ecdb4B1c107FD31b55dA
55,WMATIC-QUICK,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0x7d7a629b460db6c1d9b76E574DdA903b2B349DB9,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0x8dDf98de26A5516C47c7e95A266f713819d27B30
56,WETH-USDT,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xe1a2711DB8dA1C06e76956746C69d34674ABa53E,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0x64Ce3E18c091468ACF30bd861692A74ce48a0C7C
57,WBTC-WETH,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,8.0,0x4A6B7e7cc80E8E134928156d443B3b688a9E88CA,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xbd25cE08CeE4CC13e974191Ed71308C9cdf4143b
